 TITLE = "Observations"
 VARIABLES = "i" "time" "ave" "std" 
 ZONE T="Observed deaths 001"  F=POINT, I=  430, J=1, K=1
  339  209    30869.0000     1543.4500
  341  210    30886.0000     1544.3000
  343  211    30892.0000     1544.6000
  345  212    30926.0000     1546.3000
  347  213    30975.0000     1548.7500
  349  214    31021.0000     1551.0500
  351  215    31071.0000     1553.5500
  353  216    31225.0000     1561.2500
  355  217    31250.0000     1562.5000
  357  218    31261.0000     1563.0500
  359  219    31314.0000     1565.7000
  361  220    31392.0000     1569.6000
  363  221    31435.0000     1571.7500
  365  222    31487.0000     1574.3500
  367  223    31637.0000     1581.8500
  369  224    31676.0000     1583.8000
  371  225    31703.0000     1585.1500
  373  226    31784.0000     1589.2000
  375  227    31869.0000     1593.4500
  377  228    31932.0000     1596.6000
  379  229    31995.0000     1599.7500
  381  230    32131.0000     1606.5500
  383  231    32174.0000     1608.7000
  385  232    32206.0000     1610.3000
  387  233    32275.0000     1613.7500
  389  234    32341.0000     1617.0500
  391  235    32421.0000     1621.0500
  393  236    32497.0000     1624.8500
  395  237    32606.0000     1630.3000
  397  238    32660.0000     1633.0000
  399  239    32706.0000     1635.3000
  401  240    32801.0000     1640.0500
  403  241    32909.0000     1645.4500
  405  242    33013.0000     1650.6500
  407  243    33101.0000     1655.0500
  409  244    33279.0000     1663.9500
  411  245    33368.0000     1668.4000
  413  246    33453.0000     1672.6500
  415  247    33599.0000     1679.9500
  417  248    33861.0000     1693.0500
  419  249    34024.0000     1701.2000
  421  250    34186.0000     1709.3000
  423  251    34484.0000     1724.2000
  425  252    34621.0000     1731.0500
  427  253    34737.0000     1736.8500
  429  254    34994.0000     1749.7000
  431  255    35517.0000     1775.8500
  433  256    35761.0000     1788.0500
  435  257    35996.0000     1799.8000
  437  258    36541.0000     1827.0500
  439  259    36764.0000     1838.2000
  441  260    36995.0000     1849.7500
  443  261    37411.0000     1870.5500
  445  262    38265.0000     1913.2500
  447  263    38650.0000     1932.5000
  449  264    39013.0000     1950.6500
  451  265    39841.0000     1992.0500
  453  266    40145.0000     2000.0000
  455  267    40415.0000     2000.0000
  457  268    40963.0000     2000.0000
  459  269    42183.0000     2000.0000
  461  270    42511.0000     2000.0000
  463  271    42936.0000     2000.0000
  465  272    43868.0000     2000.0000
  467  273    44222.0000     2000.0000
  469  274    44524.0000     2000.0000
  471  275    45030.0000     2000.0000
  473  276    46249.0000     2000.0000
  475  277    46674.0000     2000.0000
  477  278    47103.0000     2000.0000
  479  279    48241.0000     2000.0000
  481  280    48494.0000     2000.0000
  483  281    48708.0000     2000.0000
  485  282    49208.0000     2000.0000
  487  283    50212.0000     2000.0000
  489  284    50593.0000     2000.0000
  491  285    50932.0000     2000.0000
  493  286    51889.0000     2000.0000
  495  287    52102.0000     2000.0000
  497  288    52300.0000     2000.0000
  499  289    52706.0000     2000.0000
  501  290    53481.0000     2000.0000
  503  291    53790.0000     2000.0000
  505  292    54114.0000     2000.0000
  507  293    54741.0000     2000.0000
  509  294    54955.0000     2000.0000
  511  295    55129.0000     2000.0000
  513  296    55495.0000     2000.0000
  515  297    56326.0000     2000.0000
  517  298    56622.0000     2000.0000
  519  299    56914.0000     2000.0000
  521  300    57541.0000     2000.0000
  523  301    57735.0000     2000.0000
  525  302    57885.0000     2000.0000
  527  303    58256.0000     2000.0000
  529  304    59046.0000     2000.0000
  531  305    59335.0000     2000.0000
  533  306    59593.0000     2000.0000
  535  307    60203.0000     2000.0000
  537  308    60392.0000     2000.0000
  539  309    60523.0000     2000.0000
  541  310    60874.0000     2000.0000
  543  311    61676.0000     2000.0000
  545  312    61952.0000     2000.0000
  547  313    62242.0000     2000.0000
  549  314    62401.0000     2000.0000
  551  315    62547.0000     2000.0000
  553  316    62720.0000     2000.0000
  555  317    63083.0000     2000.0000
  557  318    64052.0000     2000.0000
  559  319    64355.0000     2000.0000
  561  320    64606.0000     2000.0000
  563  321    64739.0000     2000.0000
  565  322    64895.0000     2000.0000
  567  323    65011.0000     2000.0000
  569  324    65389.0000     2000.0000
  571  325    66256.0000     2000.0000
  573  326    66539.0000     2000.0000
  575  327    66815.0000     2000.0000
  577  328    67405.0000     2000.0000
  579  329    67573.0000     2000.0000
  581  330    67724.0000     2000.0000
  583  331    68421.0000     2000.0000
  585  332    68776.0000     2000.0000
  587  333    69005.0000     2000.0000
  597  342    72621.0000     2000.0000
  599  343    72851.0000     2000.0000
  601  344    73023.0000     2000.0000
  603  345    73468.0000     2000.0000
  605  346    74080.0000     2000.0000
  607  347    74430.0000     2000.0000
  609  348    74774.0000     2000.0000
  611  349    75594.0000     2000.0000
  613  350    75836.0000     2000.0000
  615  351    76031.0000     2000.0000
  617  352    76486.0000     2000.0000
  619  353    77212.0000     2000.0000
  621  354    77569.0000     2000.0000
  623  355    77926.0000     2000.0000
  625  356    78577.0000     2000.0000
  627  357    78768.0000     2000.0000
  629  358    78939.0000     2000.0000
  631  359    79397.0000     2000.0000
  633  360    80121.0000     2000.0000
  635  361    80417.0000     2000.0000
  637  362    80777.0000     2000.0000
  639  363    81422.0000     2000.0000
  641  364    81621.0000     2000.0000
  643  365    81788.0000     2000.0000
  645  366    82200.0000     2000.0000
  647  367    82786.0000     2000.0000
  649  368    83096.0000     2000.0000
  651  369    83367.0000     2000.0000
  653  370    83938.0000     2000.0000
  655  371    84121.0000     2000.0000
  657  372    84280.0000     2000.0000
  659  373    84613.0000     2000.0000
  661  374    85044.0000     2000.0000
  663  375    85321.0000     2000.0000
  665  376    85582.0000     2000.0000
  667  377    86121.0000     2000.0000
  669  378    86306.0000     2000.0000
  671  379    86428.0000     2000.0000
  673  380    86803.0000     2000.0000
  675  381    87220.0000     2000.0000
  677  382    87542.0000     2000.0000
  679  383    87835.0000     2000.0000
  681  384    88274.0000     2000.0000
  683  385    88444.0000     2000.0000
  685  386    88574.0000     2000.0000
  687  387    88933.0000     2000.0000
  689  388    89301.0000     2000.0000
  691  389    89632.0000     2000.0000
  693  390    89897.0000     2000.0000
  695  391    90120.0000     2000.0000
  697  392    90289.0000     2000.0000
  699  393    90429.0000     2000.0000
  701  394    90762.0000     2000.0000
  703  395    91170.0000     2000.0000
  705  396    91411.0000     2000.0000
  707  397    91679.0000     2000.0000
  709  398    91964.0000     2000.0000
  711  399    92140.0000     2000.0000
  713  400    92278.0000     2000.0000
  715  401    92621.0000     2000.0000
  717  402    92908.0000     2000.0000
  719  403    93153.0000     2000.0000
  721  404    93378.0000     2000.0000
  723  405    94275.0000     2000.0000
  725  406    94465.0000     2000.0000
  727  407    94596.0000     2000.0000
  729  408    94956.0000     2000.0000
  731  409    95337.0000     2000.0000
  733  410    95640.0000     2000.0000
  735  411    95948.0000     2000.0000
  737  412    96280.0000     2000.0000
  739  413    96465.0000     2000.0000
  741  414    96650.0000     2000.0000
  743  415    96847.0000     2000.0000
  745  416    97273.0000     2000.0000
  747  417    97694.0000     2000.0000
  749  418    98037.0000     2000.0000
  751  419    98367.0000     2000.0000
  753  420    98574.0000     2000.0000
  755  421    98750.0000     2000.0000
  757  422    99135.0000     2000.0000
  759  423    99480.0000     2000.0000
  761  424    99777.0000     2000.0000
  763  425   100073.0000     2000.0000
  765  426   100404.0000     2000.0000
  767  427   100593.0000     2000.0000
  769  428   100733.0000     2000.0000
  771  429   101180.0000     2000.0000
  773  430   101568.0000     2000.0000
  775  431   101881.0000     2000.0000
  777  432   102164.0000     2000.0000
  779  433   102496.0000     2000.0000
  781  434   102713.0000     2000.0000
  783  435   102858.0000     2000.0000
  785  436   103256.0000     2000.0000
  787  437   103603.0000     2000.0000
  789  438   103918.0000     2000.0000
  791  439   104224.0000     2000.0000
  793  440   104514.0000     2000.0000
  795  441   104706.0000     2000.0000
  797  442   104819.0000     2000.0000
  799  443   105130.0000     2000.0000
  801  444   105387.0000     2000.0000
  803  445   105631.0000     2000.0000
  805  446   105850.0000     2000.0000
  807  447   106101.0000     2000.0000
  809  448   106277.0000     2000.0000
  811  449   106392.0000     2000.0000
  813  450   106684.0000     2000.0000
  815  451   106935.0000     2000.0000
  817  452   107119.0000     2000.0000
  819  453   107250.0000     2000.0000
  821  454   107423.0000     2000.0000
  823  455   107535.0000     2000.0000
  825  456   107616.0000     2000.0000
  827  457   107812.0000     2000.0000
  829  458   108040.0000     2000.0000
  831  459   108181.0000     2000.0000
  833  460   108314.0000     2000.0000
  835  461   108437.0000     2000.0000
  837  462   108526.0000     2000.0000
  839  463   108596.0000     2000.0000
  841  464   108658.0000     2000.0000
  843  465   108879.0000     2000.0000
  845  466   109023.0000     2000.0000
  847  467   109165.0000     2000.0000
  849  468   109290.0000     2000.0000
  851  469   109358.0000     2000.0000
  853  470   109402.0000     2000.0000
  855  471   109528.0000     2000.0000
  857  472   109662.0000     2000.0000
  859  473   109758.0000     2000.0000
  861  474   109828.0000     2000.0000
  863  475   109916.0000     2000.0000
  865  476   109973.0000     2000.0000
  867  477   109998.0000     2000.0000
  869  478   110062.0000     2000.0000
  871  479   110137.0000     2000.0000
  873  480   110202.0000     2000.0000
  875  481   110270.0000     2000.0000
  877  482   110344.0000     2000.0000
  879  483   110378.0000     2000.0000
  881  484   110391.0000     2000.0000
  883  485   110454.0000     2000.0000
