 TITLE = "Observations"
 VARIABLES = "i" "time" "ave" "std" 
 ZONE T="Observed deaths"  F=POINT, I=   89, J=1, K=1
   64   79     5537.0000      100.0000
   65   80     5576.0000      100.0000
   66   81     5601.0000      100.0000
   67   82     5634.0000      100.0000
   68   83     5667.0000      100.0000
   69   84     5693.0000      100.0000
   70   85     5714.0000      100.0000
   71   86     5737.0000      100.0000
   72   87     5757.0000      100.0000
   73   88     5773.0000      100.0000
   74   89     5787.0000      100.0000
   75   90     5806.0000      100.0000
   76   91     5828.0000      100.0000
   77   92     5839.0000      100.0000
   78   93     5860.0000      100.0000
   79   94     5876.0000      100.0000
   80   95     5887.0000      100.0000
   81   96     5902.0000      100.0000
   82   97     5921.0000      100.0000
   83   98     5936.0000      100.0000
   84   99     5941.0000      100.0000
   85  100     5951.0000      100.0000
   86  101     5955.0000      100.0000
   87  102     5958.0000      100.0000
   88  103     5960.0000      100.0000
   89  104     5960.0000      100.0000
 ZONE T="Observed hospitalized"  F=POINT, I=   97, J=1, K=1
   90    8        6.0000        4.0000
   91    9        7.0000        4.0000
   92   10        8.0000        4.0000
   93   11       10.0000        4.0000
   94   12        9.0000        4.0000
   95   13       10.0000        4.0000
   96   14       13.0000        4.0000
   97   15       14.0000        4.0000
   98   16       17.0000        4.0000
   99   17       19.0000        4.0000
  100   18       25.0000        4.0000
  101   19       29.0000        4.0000
  102   20       35.0000        4.0000
  103   21       45.0000        4.0000
  104   22       67.0000        4.0000
  105   23       78.0000        4.0000
  106   24       94.0000        4.7000
  107   25      118.0000        5.9000
  108   26      146.0000        7.3000
  109   27      174.0000        8.7000
  110   28      224.0000       11.2000
  111   29      283.0000       14.1500
  112   30      357.0000       17.8500
  113   31      427.0000       21.3500
  114   32      481.0000       24.0500
  115   33      573.0000       28.6500
  116   34      653.0000       32.6500
  117   35      753.0000       37.6500
  118   36      836.0000       41.8000
  119   37      923.0000       46.1500
  120   38      989.0000       49.4500
  121   39     1037.0000       51.8500
  122   40     1126.0000       56.3000
